BBcALM7g1UQ	The Historical Discovery (Part 1: Regice - Parkour)
oiFWrWyeBc4	The Historical Discovery (Pokefind Haikou Quest)
7K1bZc8Gy3k	Pokefind HowTo Clear Cached Data
oYrIOG8kaDQ	Eevee Exploration (Pokefind: Zeinova Side Quest)
IChKtpWFICY	Summer's In The Air (Gen 5 Summer Quest)(PokeFind)
Jbz6SDFU5gc	Dream Eater (Page Reconstruction: Lyka)(Updated)
hP984YFqZYs	Pokefind HowTo Join on Xbox
7NbNC6PBIXo	Zeinova Honey Trees
WL4zZgBmZk0	Dream Eater: Page Reconstruction (The Solution)
-UP_pddrJzs	The Badge Gyms of Zeinova (Gen 5)
BxMfn7c1B18	PokeFind HowTo: Switch Regions
fmyB9VUxShM	Complete Magma Puzzle Guide (Main Quest 4: An Ancient Encounter)
-Nc15RNzE8c	PokeFind How To Switch Train To Gain EXP
WqY39BbB3bw	PokeFind How To Breed Pokemon
F-joH5oorY0	The Electrode Puzzle (A Cosmic Discovery Act 4)
zqkrUFpS1Tg	How To: Switch Versions on Lunar/Switch Between Optifine and Sodium
F-YHdlueWZ0	Zeinova Region (Gen 5) Safari Zone "How To"
nKW5qq3Znt8	The Cosmic Discovery (Act 5)
y3ZcQHh4poM	The Move Tutors of Zeinova
JYiLgAv2GuQ	How To Release Pokemon From Your PC
fPB_emQz3z8	Where to Find the Store Baby Eggs
AEIn1ZI4V7M	A Ground Breaking Discovery
riBH-LXV640	The Cosmic Discovery (Act 4)
mjW-rFS2pas	The Cosmic Discovery (Act 3)
55-InwocIcw	The Cosmic Discovery (Act 2)
Poz_poHJUac	The Cosmic Discovery (Act 1)
HCD5QS8HRnI	Create a Save Slot on Pokefind
M1cm3gwqkKg	How to Join PokeFind
IxJno3ZphDw	How to change versions on the Minecraft Launcher
BJo1bcF_GLI	Welcome to Pokefind
m_GxdpuYEao	Classy Competition 3 (Episode 13: Main Quest 7, Breeding Quest)
ulbeFz6xZjA	The Geode Badge (Episode 12: Fourth Gym Badge)
Uiz0AQP0wkM	Lava Puzzle #shorts #pokemon #pokefind
UMsnZIYT2aw	Standing My Ground Against The Elite 4 #shorts #pokemon #pokefind
PQmKSVgTAo0	Jack Black Loves Ditto #shorts #pokefind #jackblack #peaches #minecraft #pokemon
c8XRww8i1T0	Hard Fought Battle
5hCUwjxwQ6Y	Highway to Nowhere
25NFZpYYC8k	If you know, you know #shorts
ElnXL4gdX0k	Top Down World Tour
2p8kc19tTvk	Generation 5 Veteran and Expert Trainer Location
9vqhfOulXFA	Generation 5 Important NPC Locations
G5yM7faUDR0	Generation 5 Iconic Trainer Locations
engEWsMOkMc	Flood of Destruction (Episode 10: Main Quest 6)
CXorI859cGA	The Monsoon Badge (Episode 9: Third Gym Badge)
3fTH7gxF1fc	All Gen 5 Mystery Man Locations
aYEGhiy1OmE	Easter Update Video
SLpATWXX8ak	Snowflake Badge (Episode 8: Second Gym Badge)
qiQcsPIAtaw	Discovery of Existence (Episode 7: Main Quest 5)
PQ-r1xbYUqU	Classy Competition 2 (Episode 6: Main Quest 4)
yCigxiWMuZE	Fauna Badge (Episode 5: First Gym Badge)
PChJlFrk9uc	Ignition of Space (Episode 4: Main Quest 3)
HWXh81RUs20	The Time Is Now (Episode 3: Main Quest 2)
8k6AdyLyEGc	Classy Competition 1 (Episode 2: Main Quest 1)
lFFlHYenJSU	Welcome to Shiloh (Episode 1: Introduction)
y7f7x_xD1YU	The Great War (Episode 20: Main Quest 8 - Sophro)
MPydDg7_s0M	End of Main Quest 7 - Sophro
PWKSzwSJCXY	Making Friends (Episode 19: Main Quest 7 - Sophro)
vXXbmMVURGc	A New Family (Episode 17: Main Quest 6 - Sophro)
Zlsqfla-4_A	A Choice Of A Lifetime (Episode 15: Main Quest 5 - Sophro)
0gFu-EMMQs0	The Great War (Episode 20: Main Quest 8 - Statera)
5oU7YFSkunE	The Elite Four (Episode 19.2: Elite Four and Main Quest 7 - Statera End)
z20CcpEa_Zo	An Experimental Mess/Wyvern Badge (Episode 19.1: Main Quest 7 - Statera/Eighth Gym Badge)
veW5c1E-aQA	The Frost Badge (Episode 18: Seventh Gym Badge)
VGaAQuHXty4	Tasks For A Newbie (Episode 17: Main Quest 6 - Statera)
zyLS9GacDS8	The Badge Worth More Than Dirt (Episode 16: Sixth Gym Badge)
BHjaHS2c0UU	A Choice Of A Lifetime (Episode 15: Main Quest 5 - Statera)
zDnY3XYjmYU	A Most Shocking Badge (Episode 13: Fifth Gym Badge)
qPR9QYE39VQ	Mine Your Business (Episode 14: Yearn For The Mines)
aqyfUx_YBDw	An Ancient Encounter (Episode 12: Main Quest 4)
qMkUn-0P4lE	Dream Eater Part 4 (Episode 11: The Thief Revealed!)
QAbRvk1sdnk	A Very Eerie Badge (Episode 10: Fourth Gym Badge)
SGdn7_QdEHY	Dream Eater Part 3 (Episode 4.3: Berry Blindness)
CUEQ5M_fvgg	A Soothing Melody (Episode 9: Main Quest 3)
gFx1lqX4rCg	The Badge Of Foresight (Episode 8: Third Gym Badge)
qpbNpIN_bhg	Pokemon On The Loose! (Episode 7: Main Quest 2)
hB5EzaX2BYY	Dream Eater Part 2 (Episode 4.2: Race Around The Relm)
obSetqqL7ZY	The Muscle Badge (Episode 6: Second Gym Badge)
3PoFnGOle_o	Fight For The Fields (Episode 5: Breeding Quest)
DGrZ3kQ0T00	Dream Eater Part 1 (Episode 4.1: Page Reconstruction)
iaMqvBk5wGE	Badge of Flight (Episode 3: First Gym Badge)
BEzZVzX_3OE	A Myth or a Lie? (Episode 2: Main Quest 1)
RMZt4aYZM0k	Welcome to PokeFind (Episode 1: Gen 5 Introduction)
